id,name,department_id,availability,lat,lon
100106,Дворовая территория,,4,55.47927907166636,37.29780779128127
100107,Физкультурно-оздоровительный комплекс «Прометей»,,3,55.5704,37.47934
100108,Плоскостное спортивное сооружение,,3,55.517786,37.218622
100109,Комплекс спортивных сооружений «Подольск»,,2,55.36033036418082,37.41347147727383
100110,Футбольное поле,259810.0,3,55.50400684292293,37.32702749522462
100111,Физкультурно-оздоровительный комплекс «Спортивно-оздоровительный центр «Локомотив»,,3,55.432403,36.867829
100112,Дворовая территория,,4,55.21184128713964,37.07073612714285
100114,Комплекс спортивных сооружений «Ватутинки»,,2,55.51010083608019,37.36989208780307
100116,Дворовая территория,,4,55.53022580402222,37.447619385243705
100117,Дворовая территория,,4,55.53280301492286,37.44613766428653
100118,Спортивный комплекс образовательного учреждения,219814.0,4,55.530852,37.447836
100119,Дворовая территория,,4,55.630805284847774,37.25601049205682
100120,Дворовая территория,,4,55.65978759636724,37.32508802600074
100121,Физкультурно-оздоровительный комплекс «Подолье»,,3,55.44871083186318,37.52593884410944
100122,Физкультурно-оздоровительный комплекс «Спортивно-культурный центр по реабилитации воинов-участников локальных конфликтов «Пересвет» МУ «СК «Десна»»,,3,55.473306,37.541674
100123,Дворовая территория,,4,55.491579,37.306073
100124,Фитнес клуб «Фит лайф»,,3,55.738008,37.834848
100126,Комплекс спортивных сооружений «Спортивная Школа «Теннис парк»,,2,55.727832261477374,37.74513799886401
100127,Ледовый клуб «Айс Парк»,,2,55.72909813286684,37.74576528426751
100128,Учебно-физкультурный комплекс добровольная спортивная организация «Русская Земля»,237430.0,3,55.771975796752336,37.64218410724093
100129,Государственное бюджетное учреждение города Москвы Центр культуры досуга и спорта «Истоки»,237343.0,3,55.693135,37.856551
100130,спортивный зал,237444.0,3,55.71466390688629,37.73778214673988
100131,Дворовая территория,,4,55.47138924490179,37.29839075442588
100132,Спортивный комплекс образовательного учреждения «Муниципальное автономное дошкольное учреждение Центр развития ребенка Детский сад № 2 «Рябинка»»,,4,55.470418,37.297979
100133,Бассейн плавательный «МАУ ДО ДЮСШ-2»,,3,55.472569018800144,37.29508789257683
100134,Государственное бюджетное учреждение Спортивно-досуговый центр «Люблино»,237438.0,3,55.67881403336925,37.80072949661468
100135,Досуговый центр «Центр культуры досуга и спорта «Истоки»,237343.0,3,55.69615660535241,37.80216461199768
100140,Парк Победы на Поклонной горе,237333.0,1,55.731632,37.506945
100145,Досуговый центр «Бойцовский клуб на Баграмяна»,,3,55.67125211947392,37.790859720982034
100148,Ледяная естественная горка,237438.0,3,55.66951491930086,37.793391263779874
100149,Ледовый дворец «Стерх»,,2,55.50582729283225,37.55787702838895
100150,Физкультурно-оздоровительный комплекс «МБОУ ДОД ДЮСШ» городского округа Щербинка»,,3,55.50550839336063,37.559186174142766
100151,Дворовая территория,,4,55.48932690591685,37.31209143619533
100153,Дворовая территория,,4,55.49153457862329,37.30870755828658
100154,Государственное бюджетное учреждение города Москвы Центр культуры досуга и спорта «Истоки»,237343.0,3,55.71739327906089,37.807929638948416
100156,Дворовая территория,,4,55.472929,37.301159
100157,Досуговый центр «Спортивно-Досуговый Центр «Барс»,,3,55.706168,37.772307
100161,Фитнес-клуб «Веджим»,,3,55.70993485965317,37.803127643771255
100163,Московский государственный университет имени М.В.Ломоносова,,3,55.70636292319768,37.56761318930427
